Ward,Precinct,Registered,Votes,RAHM EMANUEL ,%,WILLIE WILSON ,%,ROBERT W. FIORETTI ,%,JESUS ''CHUY'' GARCIA ,%,"WILLIAM WALLS, III ",%
1,1,732,195,62,0.3179,5,0.0256,11,0.0564,115,0.5897,2,0.0103
1,2,682,189,56,0.2963,10,0.0529,13,0.0688,109,0.5767,1,0.0053
1,3,795,208,95,0.4567,3,0.0144,15,0.0721,94,0.4519,1,0.0048
1,4,766,232,112,0.4828,4,0.0172,21,0.0905,93,0.4009,2,0.0086
1,5,764,169,90,0.5325,4,0.0237,10,0.0592,64,0.3787,1,0.0059
1,6,731,216,88,0.4074,3,0.0139,17,0.0787,106,0.4907,2,0.0093
1,7,457,154,60,0.3896,2,0.013,15,0.0974,72,0.4675,5,0.0325
1,8,703,225,118,0.5244,15,0.0667,8,0.0356,81,0.36,3,0.0133
1,9,528,198,87,0.4394,12,0.0606,13,0.0657,86,0.4343,0,0
1,10,778,182,99,0.544,5,0.0275,12,0.0659,63,0.3462,3,0.0165
1,11,739,180,73,0.4056,2,0.0111,16,0.0889,87,0.4833,2,0.0111
1,12,858,224,74,0.3304,6,0.0268,34,0.1518,105,0.4688,5,0.0223
1,13,337,100,39,0.39,2,0.02,4,0.04,54,0.54,1,0.01
1,14,700,220,112,0.5091,10,0.0455,15,0.0682,82,0.3727,1,0.0045
1,15,660,194,49,0.2526,9,0.0464,24,0.1237,110,0.567,2,0.0103
1,16,534,197,57,0.2893,3,0.0152,8,0.0406,129,0.6548,0,0
1,17,653,206,73,0.3544,9,0.0437,11,0.0534,110,0.534,3,0.0146
1,18,770,225,79,0.3511,8,0.0356,10,0.0444,127,0.5644,1,0.0044
1,19,902,302,100,0.3311,0,0,14,0.0464,184,0.6093,4,0.0132
1,20,624,186,50,0.2688,8,0.043,11,0.0591,116,0.6237,1,0.0054
1,21,771,174,89,0.5115,4,0.023,5,0.0287,71,0.408,5,0.0287
1,22,506,131,58,0.4427,2,0.0153,7,0.0534,63,0.4809,1,0.0076
1,23,941,303,100,0.33,6,0.0198,22,0.0726,174,0.5743,1,0.0033
1,24,709,170,62,0.3647,11,0.0647,5,0.0294,92,0.5412,0,0
1,25,709,157,49,0.3121,9,0.0573,10,0.0637,86,0.5478,3,0.0191
1,26,639,159,48,0.3019,1,0.0063,9,0.0566,100,0.6289,1,0.0063
1,27,742,170,74,0.4353,7,0.0412,14,0.0824,73,0.4294,2,0.0118
1,28,326,132,64,0.4848,16,0.1212,2,0.0152,36,0.2727,14,0.1061
1,29,668,224,105,0.4688,10,0.0446,16,0.0714,90,0.4018,3,0.0134
1,30,810,252,77,0.3056,12,0.0476,5,0.0198,154,0.6111,4,0.0159
1,31,745,209,99,0.4737,10,0.0478,10,0.0478,87,0.4163,3,0.0144
1,32,662,195,82,0.4205,2,0.0103,28,0.1436,83,0.4256,0,0
1,33,810,233,100,0.4292,7,0.03,19,0.0815,105,0.4506,2,0.0086
1,34,591,181,60,0.3315,3,0.0166,12,0.0663,106,0.5856,0,0
1,35,773,221,98,0.4434,4,0.0181,20,0.0905,94,0.4253,5,0.0226
1,36,695,191,92,0.4817,4,0.0209,29,0.1518,66,0.3455,0,0
1,37,685,206,94,0.4563,1,0.0049,28,0.1359,82,0.3981,1,0.0049
1,38,656,222,70,0.3153,6,0.027,24,0.1081,120,0.5405,2,0.009
1,39,681,178,70,0.3933,1,0.0056,14,0.0787,93,0.5225,0,0
1,40,706,227,113,0.4978,12,0.0529,20,0.0881,77,0.3392,5,0.022
1,41,429,152,46,0.3026,2,0.0132,5,0.0329,96,0.6316,3,0.0197
1,42,221,56,10,0.1786,0,0,6,0.1071,40,0.7143,0,0
1,43,501,170,62,0.3647,8,0.0471,12,0.0706,81,0.4765,7,0.0412
1,44,543,143,54,0.3776,2,0.014,14,0.0979,72,0.5035,1,0.007
2,1,781,186,90,0.4839,8,0.043,12,0.0645,76,0.4086,0,0
2,2,562,243,186,0.7654,7,0.0288,20,0.0823,29,0.1193,1,0.0041
2,3,751,194,95,0.4897,7,0.0361,16,0.0825,72,0.3711,4,0.0206
2,4,719,205,68,0.3317,6,0.0293,31,0.1512,98,0.478,2,0.0098
2,5,804,202,75,0.3713,6,0.0297,18,0.0891,102,0.505,1,0.005
2,6,760,195,65,0.3333,8,0.041,30,0.1538,91,0.4667,1,0.0051
2,7,933,196,106,0.5408,9,0.0459,13,0.0663,67,0.3418,1,0.0051
2,8,794,199,73,0.3668,7,0.0352,27,0.1357,91,0.4573,1,0.005
2,9,683,168,125,0.744,3,0.0179,11,0.0655,28,0.1667,1,0.006
2,10,678,257,202,0.786,5,0.0195,23,0.0895,26,0.1012,1,0.0039
2,11,628,272,219,0.8051,2,0.0074,14,0.0515,35,0.1287,2,0.0074
2,12,714,247,148,0.5992,14,0.0567,23,0.0931,53,0.2146,9,0.0364
2,13,645,338,237,0.7012,6,0.0178,33,0.0976,60,0.1775,2,0.0059
2,14,744,288,116,0.4028,13,0.0451,35,0.1215,118,0.4097,6,0.0208
2,15,697,205,99,0.4829,13,0.0634,19,0.0927,69,0.3366,5,0.0244
2,16,706,160,81,0.5063,6,0.0375,13,0.0813,60,0.375,0,0
2,17,842,302,156,0.5166,9,0.0298,23,0.0762,111,0.3675,3,0.0099
2,18,599,233,169,0.7253,4,0.0172,18,0.0773,39,0.1674,3,0.0129
2,19,536,250,205,0.82,6,0.024,7,0.028,30,0.12,2,0.008
2,20,835,155,102,0.6581,4,0.0258,14,0.0903,35,0.2258,0,0
2,21,730,233,107,0.4592,3,0.0129,17,0.073,105,0.4506,1,0.0043
2,22,731,278,192,0.6906,7,0.0252,23,0.0827,56,0.2014,0,0
2,23,536,248,208,0.8387,2,0.0081,3,0.0121,35,0.1411,0,0
2,24,686,213,156,0.7324,7,0.0329,14,0.0657,33,0.1549,3,0.0141
2,25,727,198,106,0.5354,3,0.0152,25,0.1263,63,0.3182,1,0.0051
2,26,724,201,123,0.6119,17,0.0846,17,0.0846,42,0.209,2,0.01
2,27,644,231,176,0.7619,7,0.0303,16,0.0693,29,0.1255,3,0.013
2,28,809,251,170,0.6773,3,0.012,19,0.0757,58,0.2311,1,0.004
2,29,772,220,160,0.7273,5,0.0227,12,0.0545,42,0.1909,1,0.0045
2,30,646,210,149,0.7095,3,0.0143,17,0.081,40,0.1905,1,0.0048
2,31,944,342,264,0.7719,8,0.0234,22,0.0643,48,0.1404,0,0
2,32,620,165,111,0.6727,5,0.0303,11,0.0667,34,0.2061,4,0.0242
2,33,935,374,269,0.7193,4,0.0107,36,0.0963,62,0.1658,3,0.008
2,34,566,241,190,0.7884,1,0.0041,17,0.0705,32,0.1328,1,0.0041
2,35,894,193,139,0.7202,7,0.0363,16,0.0829,29,0.1503,2,0.0104
2,36,559,223,162,0.7265,7,0.0314,22,0.0987,31,0.139,1,0.0045
2,37,624,273,168,0.6154,10,0.0366,29,0.1062,66,0.2418,0,0
2,38,674,279,215,0.7706,4,0.0143,20,0.0717,39,0.1398,1,0.0036
2,39,570,213,143,0.6714,19,0.0892,15,0.0704,32,0.1502,4,0.0188
2,40,758,185,126,0.6811,4,0.0216,17,0.0919,35,0.1892,3,0.0162
2,41,733,132,91,0.6894,5,0.0379,13,0.0985,22,0.1667,1,0.0076
2,42,721,205,139,0.678,10,0.0488,14,0.0683,39,0.1902,3,0.0146
2,43,789,271,204,0.7528,8,0.0295,21,0.0775,38,0.1402,0,0
2,44,425,161,100,0.6211,2,0.0124,16,0.0994,43,0.2671,0,0
2,45,752,277,161,0.5812,31,0.1119,22,0.0794,59,0.213,4,0.0144
2,46,458,122,81,0.6639,6,0.0492,9,0.0738,26,0.2131,0,0
3,1,1041,300,107,0.3567,80,0.2667,11,0.0367,73,0.2433,29,0.0967
3,2,763,432,230,0.5324,100,0.2315,14,0.0324,68,0.1574,20,0.0463
3,3,792,261,157,0.6015,35,0.1341,14,0.0536,47,0.1801,8,0.0307
3,4,798,292,115,0.3938,49,0.1678,25,0.0856,83,0.2842,20,0.0685
3,5,706,194,88,0.4536,64,0.3299,9,0.0464,30,0.1546,3,0.0155
3,6,795,259,148,0.5714,6,0.0232,39,0.1506,62,0.2394,4,0.0154
3,7,622,272,116,0.4265,67,0.2463,23,0.0846,49,0.1801,17,0.0625
3,8,798,197,84,0.4264,39,0.198,12,0.0609,50,0.2538,12,0.0609
3,9,733,296,127,0.4291,65,0.2196,14,0.0473,77,0.2601,13,0.0439
3,10,653,155,69,0.4452,38,0.2452,12,0.0774,29,0.1871,7,0.0452
3,11,772,252,94,0.373,58,0.2302,18,0.0714,66,0.2619,16,0.0635
3,12,722,331,156,0.4713,82,0.2477,16,0.0483,63,0.1903,14,0.0423
3,13,788,303,174,0.5743,14,0.0462,39,0.1287,70,0.231,6,0.0198
3,14,701,199,115,0.5779,15,0.0754,22,0.1106,41,0.206,6,0.0302
3,15,757,233,85,0.3648,64,0.2747,16,0.0687,45,0.1931,23,0.0987
3,16,833,242,102,0.4215,67,0.2769,8,0.0331,48,0.1983,17,0.0702
3,17,795,263,123,0.4677,39,0.1483,25,0.0951,63,0.2395,13,0.0494
3,18,1183,334,154,0.4611,44,0.1317,42,0.1257,76,0.2275,18,0.0539
3,19,729,226,127,0.5619,7,0.031,52,0.2301,40,0.177,0,0
3,20,848,259,109,0.4208,55,0.2124,14,0.0541,61,0.2355,20,0.0772
3,21,807,306,165,0.5392,26,0.085,46,0.1503,61,0.1993,8,0.0261
3,22,811,226,102,0.4513,7,0.031,41,0.1814,73,0.323,3,0.0133
3,23,774,246,128,0.5203,47,0.1911,12,0.0488,36,0.1463,23,0.0935
3,24,791,251,117,0.4661,70,0.2789,6,0.0239,49,0.1952,9,0.0359
3,25,931,290,198,0.6828,9,0.031,29,0.1,54,0.1862,0,0
3,26,778,363,218,0.6006,17,0.0468,45,0.124,76,0.2094,7,0.0193
3,27,778,225,112,0.4978,5,0.0222,50,0.2222,55,0.2444,3,0.0133
3,28,650,243,118,0.4856,77,0.3169,8,0.0329,23,0.0947,17,0.07
3,29,962,274,123,0.4489,77,0.281,11,0.0401,52,0.1898,11,0.0401
3,30,773,292,112,0.3836,60,0.2055,21,0.0719,80,0.274,19,0.0651
3,31,850,299,143,0.4783,67,0.2241,12,0.0401,64,0.214,13,0.0435
3,32,811,264,153,0.5795,17,0.0644,33,0.125,57,0.2159,4,0.0152
3,33,818,186,99,0.5323,10,0.0538,33,0.1774,42,0.2258,2,0.0108
3,34,852,296,155,0.5236,30,0.1014,49,0.1655,55,0.1858,7,0.0236
3,35,550,121,48,0.3967,18,0.1488,19,0.157,26,0.2149,10,0.0826
3,36,649,140,51,0.3643,48,0.3429,10,0.0714,18,0.1286,13,0.0929
3,37,741,220,89,0.4045,51,0.2318,6,0.0273,53,0.2409,21,0.0955
3,38,638,311,178,0.5723,56,0.1801,16,0.0514,47,0.1511,14,0.045
3,39,749,212,143,0.6745,4,0.0189,28,0.1321,36,0.1698,1,0.0047
3,40,832,303,149,0.4917,35,0.1155,29,0.0957,71,0.2343,19,0.0627
3,41,768,277,142,0.5126,49,0.1769,25,0.0903,42,0.1516,19,0.0686
4,1,800,352,102,0.2898,26,0.0739,27,0.0767,186,0.5284,11,0.0313
4,2,735,279,168,0.6022,14,0.0502,32,0.1147,61,0.2186,4,0.0143
4,3,790,265,109,0.4113,66,0.2491,4,0.0151,71,0.2679,15,0.0566
4,4,985,352,144,0.4091,82,0.233,16,0.0455,88,0.25,22,0.0625
4,5,720,325,132,0.4062,50,0.1538,16,0.0492,112,0.3446,15,0.0462
4,6,895,408,215,0.527,62,0.152,39,0.0956,81,0.1985,11,0.027
4,7,848,369,160,0.4336,58,0.1572,22,0.0596,108,0.2927,21,0.0569
4,8,819,363,132,0.3636,84,0.2314,14,0.0386,110,0.303,23,0.0634
4,9,799,462,191,0.4134,66,0.1429,23,0.0498,153,0.3312,29,0.0628
4,10,849,343,150,0.4373,55,0.1603,22,0.0641,99,0.2886,17,0.0496
4,11,898,297,149,0.5017,58,0.1953,19,0.064,51,0.1717,20,0.0673
4,12,853,289,111,0.3841,45,0.1557,15,0.0519,94,0.3253,24,0.083
4,13,599,139,80,0.5755,4,0.0288,22,0.1583,31,0.223,2,0.0144
4,14,751,307,115,0.3746,55,0.1792,46,0.1498,74,0.241,17,0.0554
4,15,876,359,152,0.4234,59,0.1643,21,0.0585,102,0.2841,25,0.0696
4,16,822,232,144,0.6207,4,0.0172,24,0.1034,58,0.25,2,0.0086
4,17,742,268,146,0.5448,5,0.0187,43,0.1604,72,0.2687,2,0.0075
4,18,770,312,149,0.4776,58,0.1859,17,0.0545,74,0.2372,14,0.0449
4,19,925,259,103,0.3977,68,0.2625,15,0.0579,51,0.1969,22,0.0849
4,20,674,292,149,0.5103,8,0.0274,51,0.1747,77,0.2637,7,0.024
4,21,868,243,125,0.5144,13,0.0535,38,0.1564,61,0.251,6,0.0247
4,22,762,323,162,0.5015,30,0.0929,14,0.0433,100,0.3096,17,0.0526
4,23,892,370,155,0.4189,28,0.0757,14,0.0378,158,0.427,15,0.0405
4,24,770,262,116,0.4427,29,0.1107,18,0.0687,83,0.3168,16,0.0611
4,25,725,254,147,0.5787,11,0.0433,37,0.1457,55,0.2165,4,0.0157
4,26,812,332,139,0.4187,76,0.2289,21,0.0633,81,0.244,15,0.0452
4,27,802,312,103,0.3301,29,0.0929,26,0.0833,143,0.4583,11,0.0353
4,28,703,329,148,0.4498,49,0.1489,28,0.0851,83,0.2523,21,0.0638
4,29,766,246,96,0.3902,51,0.2073,13,0.0528,73,0.2967,13,0.0528
4,30,1055,346,167,0.4827,76,0.2197,16,0.0462,66,0.1908,21,0.0607
4,31,652,390,201,0.5154,54,0.1385,20,0.0513,97,0.2487,18,0.0462
4,32,834,281,123,0.4377,53,0.1886,14,0.0498,76,0.2705,15,0.0534
4,33,827,343,136,0.3965,63,0.1837,19,0.0554,110,0.3207,15,0.0437
4,34,704,270,105,0.3889,56,0.2074,15,0.0556,72,0.2667,22,0.0815
4,35,968,392,169,0.4311,57,0.1454,29,0.074,114,0.2908,23,0.0587
4,36,849,344,121,0.3517,55,0.1599,48,0.1395,90,0.2616,30,0.0872
4,37,729,291,149,0.512,2,0.0069,56,0.1924,75,0.2577,9,0.0309
4,38,783,358,166,0.4637,44,0.1229,28,0.0782,106,0.2961,14,0.0391
5,1,773,224,102,0.4554,46,0.2054,8,0.0357,51,0.2277,17,0.0759
5,2,783,223,96,0.4305,48,0.2152,6,0.0269,56,0.2511,17,0.0762
5,3,645,275,76,0.2764,8,0.0291,14,0.0509,167,0.6073,10,0.0364
5,4,785,293,128,0.4369,27,0.0922,26,0.0887,100,0.3413,12,0.041
5,5,783,286,127,0.4441,49,0.1713,7,0.0245,80,0.2797,23,0.0804
5,6,730,251,103,0.4104,56,0.2231,9,0.0359,72,0.2869,11,0.0438
5,7,590,265,146,0.5509,30,0.1132,8,0.0302,72,0.2717,9,0.034
5,8,634,303,143,0.4719,6,0.0198,10,0.033,143,0.4719,1,0.0033
5,9,767,321,150,0.4673,33,0.1028,14,0.0436,112,0.3489,12,0.0374
5,10,760,220,83,0.3773,46,0.2091,11,0.05,64,0.2909,16,0.0727
5,11,675,331,134,0.4048,21,0.0634,13,0.0393,157,0.4743,6,0.0181
5,12,792,200,73,0.365,50,0.25,9,0.045,60,0.3,8,0.04
5,13,741,255,108,0.4235,50,0.1961,1,0.0039,78,0.3059,18,0.0706
5,14,595,314,137,0.4363,48,0.1529,15,0.0478,88,0.2803,26,0.0828
5,15,643,265,130,0.4906,36,0.1358,7,0.0264,78,0.2943,14,0.0528
5,16,858,268,126,0.4701,55,0.2052,14,0.0522,53,0.1978,20,0.0746
5,17,800,228,108,0.4737,51,0.2237,5,0.0219,49,0.2149,15,0.0658
5,18,574,262,106,0.4046,25,0.0954,15,0.0573,98,0.374,18,0.0687
5,19,659,315,106,0.3365,24,0.0762,16,0.0508,165,0.5238,4,0.0127
5,20,728,341,156,0.4575,29,0.085,19,0.0557,125,0.3666,12,0.0352
5,21,671,263,94,0.3574,22,0.0837,17,0.0646,122,0.4639,8,0.0304
5,22,672,368,221,0.6005,24,0.0652,12,0.0326,103,0.2799,8,0.0217
5,23,997,447,194,0.434,25,0.0559,28,0.0626,189,0.4228,11,0.0246
5,24,708,290,94,0.3241,32,0.1103,17,0.0586,136,0.469,11,0.0379
5,25,771,289,125,0.4325,51,0.1765,13,0.045,86,0.2976,14,0.0484
5,26,738,258,118,0.4574,46,0.1783,12,0.0465,67,0.2597,15,0.0581
5,27,610,236,99,0.4195,3,0.0127,9,0.0381,124,0.5254,1,0.0042
5,28,781,336,141,0.4196,59,0.1756,19,0.0565,96,0.2857,21,0.0625
5,29,853,346,133,0.3844,59,0.1705,18,0.052,114,0.3295,22,0.0636
5,30,795,190,73,0.3842,46,0.2421,11,0.0579,48,0.2526,12,0.0632
5,31,736,228,96,0.4211,52,0.2281,15,0.0658,52,0.2281,13,0.057
5,32,736,349,153,0.4384,45,0.1289,24,0.0688,105,0.3009,22,0.063
5,33,808,321,138,0.4299,63,0.1963,13,0.0405,74,0.2305,33,0.1028
5,34,733,334,177,0.5299,5,0.015,8,0.024,142,0.4251,2,0.006
5,35,633,316,130,0.4114,19,0.0601,17,0.0538,140,0.443,10,0.0316
5,36,676,215,98,0.4558,58,0.2698,8,0.0372,31,0.1442,20,0.093
5,37,699,361,188,0.5208,20,0.0554,20,0.0554,122,0.338,11,0.0305
5,38,805,249,121,0.4859,56,0.2249,9,0.0361,43,0.1727,20,0.0803
5,39,582,269,139,0.5167,8,0.0297,10,0.0372,105,0.3903,7,0.026
5,40,672,253,102,0.4032,49,0.1937,17,0.0672,62,0.2451,23,0.0909
5,41,330,205,116,0.5659,14,0.0683,9,0.0439,61,0.2976,5,0.0244
6,1,702,320,134,0.4188,55,0.1719,22,0.0688,85,0.2656,24,0.075
6,2,699,290,132,0.4552,66,0.2276,27,0.0931,50,0.1724,15,0.0517
6,3,654,300,151,0.5033,62,0.2067,11,0.0367,50,0.1667,26,0.0867
6,4,638,192,86,0.4479,49,0.2552,2,0.0104,41,0.2135,14,0.0729
6,5,765,177,68,0.3842,52,0.2938,6,0.0339,43,0.2429,8,0.0452
6,6,661,271,118,0.4354,48,0.1771,18,0.0664,72,0.2657,15,0.0554
6,7,707,240,99,0.4125,61,0.2542,3,0.0125,58,0.2417,19,0.0792
6,8,653,287,130,0.453,48,0.1672,20,0.0697,74,0.2578,15,0.0523
6,9,820,221,85,0.3846,43,0.1946,7,0.0317,70,0.3167,16,0.0724
6,10,663,144,73,0.5069,34,0.2361,9,0.0625,21,0.1458,7,0.0486
6,11,752,230,90,0.3913,64,0.2783,8,0.0348,52,0.2261,16,0.0696
6,12,765,150,61,0.4067,42,0.28,3,0.02,32,0.2133,12,0.08
6,13,585,218,101,0.4633,44,0.2018,20,0.0917,39,0.1789,14,0.0642
6,14,759,261,104,0.3985,77,0.295,15,0.0575,52,0.1992,13,0.0498
6,15,924,197,74,0.3756,73,0.3706,8,0.0406,36,0.1827,6,0.0305
6,16,694,310,146,0.471,67,0.2161,13,0.0419,64,0.2065,20,0.0645
6,17,704,176,81,0.4602,48,0.2727,6,0.0341,31,0.1761,10,0.0568
6,18,684,203,99,0.4877,54,0.266,7,0.0345,27,0.133,16,0.0788
6,19,691,243,111,0.4568,64,0.2634,10,0.0412,46,0.1893,12,0.0494
6,20,662,132,58,0.4394,34,0.2576,7,0.053,26,0.197,7,0.053
6,21,666,158,66,0.4177,47,0.2975,3,0.019,39,0.2468,3,0.019
6,22,683,181,82,0.453,44,0.2431,6,0.0331,41,0.2265,8,0.0442
6,23,711,145,59,0.4069,43,0.2966,4,0.0276,33,0.2276,6,0.0414
6,24,638,151,75,0.4967,46,0.3046,5,0.0331,15,0.0993,10,0.0662
6,25,685,144,68,0.4722,38,0.2639,6,0.0417,20,0.1389,12,0.0833
6,26,770,157,62,0.3949,44,0.2803,7,0.0446,27,0.172,17,0.1083
6,27,693,142,44,0.3099,60,0.4225,5,0.0352,23,0.162,10,0.0704
6,28,674,136,53,0.3897,40,0.2941,4,0.0294,33,0.2426,6,0.0441
6,29,669,328,149,0.4543,54,0.1646,21,0.064,78,0.2378,26,0.0793
