Ward,Precinct,Registered,Votes,RAHM EMANUEL ,%,JESUS ''CHUY'' GARCIA ,%
1,1,753,259,93,0.3591,166,0.6409
1,2,706,254,75,0.2953,179,0.7047
1,3,811,269,149,0.5539,120,0.4461
1,4,790,277,145,0.5235,132,0.4765
1,5,784,217,144,0.6636,73,0.3364
1,6,748,290,144,0.4966,146,0.5034
1,7,462,186,79,0.4247,107,0.5753
1,8,716,269,158,0.5874,111,0.4126
1,9,543,264,106,0.4015,158,0.5985
1,10,797,226,138,0.6106,88,0.3894
1,11,755,253,149,0.5889,104,0.4111
1,12,877,300,139,0.4633,161,0.5367
1,13,346,121,40,0.3306,81,0.6694
1,14,713,270,147,0.5444,123,0.4556
1,15,685,256,85,0.332,171,0.668
1,16,546,228,64,0.2807,164,0.7193
1,17,676,251,83,0.3307,168,0.6693
1,18,779,289,104,0.3599,185,0.6401
1,19,911,388,126,0.3247,262,0.6753
1,20,638,238,72,0.3025,166,0.6975
1,21,783,232,154,0.6638,78,0.3362
1,22,513,167,68,0.4072,99,0.5928
1,23,962,395,155,0.3924,240,0.6076
1,24,725,200,55,0.275,145,0.725
1,25,730,201,77,0.3831,124,0.6169
1,26,644,198,39,0.197,159,0.803
1,27,765,247,118,0.4777,129,0.5223
1,28,330,133,51,0.3835,82,0.6165
1,29,684,257,139,0.5409,118,0.4591
1,30,828,310,83,0.2677,227,0.7323
1,31,764,279,123,0.4409,156,0.5591
1,32,686,264,138,0.5227,126,0.4773
1,33,820,282,140,0.4965,142,0.5035
1,34,609,235,86,0.366,149,0.634
1,35,797,299,145,0.4849,154,0.5151
1,36,708,232,150,0.6466,82,0.3534
1,37,697,241,132,0.5477,109,0.4523
1,38,676,271,109,0.4022,162,0.5978
1,39,694,236,107,0.4534,129,0.5466
1,40,719,281,165,0.5872,116,0.4128
1,41,444,192,72,0.375,120,0.625
1,42,228,91,29,0.3187,62,0.6813
1,43,507,183,86,0.4699,97,0.5301
1,44,558,196,87,0.4439,109,0.5561
